adminregion,ain,assessorid,bathrooms,bedrooms,center_lat,center_lon,cluster,effectiveyearbuilt,istaxableparcel,location_1,location_1_address,nettaxablevalue,parcelboundarydescription,parcelclassification,propertylocation,recordingdate,roll_fixtureexemp,roll_fixturevalue,roll_homeownersexemp,roll_impbaseyear,roll_impvalue,roll_landbaseyear,roll_landvalue,roll_perspropexemp,roll_perspropvalue,roll_realestateexemp,roll_totalexemption,roll_totalvalue,roll_totlandimp,rollyear,rowid,situscity,situsdirection,situsfraction,situshouseno,situsstreet,situsunit,situszip,situszip5,sqftmain,taxratearea,taxratearea_city,totbuildingdatalines,units,usecode,usecodedescchar1,usecodedescchar2,usecodedescchar3,usecodedescchar4,usetype,yearbuilt,sqft_value
09,5153002027,5153-002-027,4,4,34.06187208,-118.26760104,09440,1917,Y,"{'type': 'Point', 'coordinates': [-118.26760104, 34.06187208]}",UNION AVE,734457,COLINA PARK SE 105 FT OF SW 5 FT OF LOT 37 AND SE 105 FT OF LOT   39 BLK    B, ,275 S UNION AVE  LOS ANGELES CA  90026,20070611,0,0,0,2007,123642,2007,610815,0,0,0,0,734457,734457,2016,20165153002027,LOS ANGELES CA,S, ,275,UNION AVE, ,90026-5415,90026,3935,12706,LOS ANGELES,2,4,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1905,186.64726810673443
09,5153002023,5153-002-023,4,4,34.06217146,-118.26818070,09440,1910,Y,"{'type': 'Point', 'coordinates': [-118.2681807, 34.06217146]}",MIRAMAR ST,247716,COLINA PARK NW 43 FT OF SW 30 FT OF LOT 36 AND NW 43 FT OF LOT   38 BLK    B, ,1723 MIRAMAR ST  LOS ANGELES CA  90026,20100426,0,0,0,2010,83958,2010,163558,0,200,0,0,247716,247516,2016,20165153002023,LOS ANGELES CA, , ,1723,MIRAMAR ST, ,90026-5405,90026,3540,12706,LOS ANGELES,1,4,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1910,69.97627118644068
09,5153003029,5153-003-029,9,9,34.06062965,-118.26898878,09440,1991,Y,"{'type': 'Point', 'coordinates': [-118.26898878, 34.06062965]}",BURLINGTON AVE,285294,RESUB OF PART OF BLK 1 COLINA PARK LOT   20, ,322 S BURLINGTON AVE  LOS ANGELES CA  90057,20100128,0,0,0,1992,43309,1992,241985,0,0,0,0,285294,285294,2016,20165153003029,LOS ANGELES CA,S, ,322,BURLINGTON AVE, ,90057-4428,90057,3029,12706,LOS ANGELES,1,4,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1991,94.18752063387257
09,5153013030,5153-013-030,4,4,34.06300005,-118.26367643,09440,1981,Y,"{'type': 'Point', 'coordinates': [-118.26367643, 34.06300005]}",LOMA DR,241385,J W ELLIS SUB OF PARTS OF LOTS 2 AND 3 BLK 38 HANCOCKS SURVEY LOT   32 BLK    D, ,115 LOMA DR  LOS ANGELES CA  90026,20040305,0,0,0,1981,215991,1975,25034,0,360,0,0,241385,241025,2016,20165153013030,LOS ANGELES CA, , ,115,LOMA DR, ,90026-5736,90026,3024,12706,LOS ANGELES,1,4,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1981,79.82308201058201
09,5153009015,5153-009-015,4,2,34.06077346,-118.26510762,09440,0,Y,"{'type': 'Point', 'coordinates': [-118.26510762, 34.06077346]}",CROWN HILL AVE,78013,"*LAND DESC IN DOC 0259063, 77-3-15*TR= FLETCHER TR BEING A SUB OF PART OF BLK L OF THE COLINA PARK TR*POR OF SD TR", ,1602 CROWN HILL AVE  LOS ANGELES CA  90026,20091119,0,0,0,1978,40763,1978,37250,0,0,0,0,78013,78013,2016,20165153009015,LOS ANGELES CA, , ,1602,CROWN HILL AVE, ,90026-5906,90026,1596,12706,LOS ANGELES,1,4,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1921,48.88032581453634
09,5154005011,5154-005-011,9,11,34.06394166,-118.27094755,09440,1928,Y,"{'type': 'Point', 'coordinates': [-118.27094755, 34.06394166]}",MOUNTAIN VIEW AVE,599064,HAYS TRACT LOT   10 BLK    D, ,186 S MOUNTAIN VIEW AVE  LOS ANGELES CA  90057,20021112,0,0,0,2003,354376,2003,244688,0,0,0,0,599064,599064,2016,20165154005011,LOS ANGELES CA,S, ,186,MOUNTAIN VIEW AVE, ,90057-2384,90057,5840,00067,LOS ANGELES,1,4,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1924,102.57945205479452
09,5154004012,5154-004-012,4,4,34.06463618,-118.27004677,09440,2007,Y,"{'type': 'Point', 'coordinates': [-118.27004677, 34.06463618]}",VALLEY ST,365527,HAYS TRACT LOT   12 BLK    B, ,2001 VALLEY ST  LOS ANGELES CA  90057,20120727,0,0,0,2012,153320,2012,212207,0,0,0,0,365527,365527,2016,20165154004012,LOS ANGELES CA, , ,2001,VALLEY ST, ,90057-2409,90057,2424,00067,LOS ANGELES,4,4,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1930,150.79496699669966
09,5153002021,5153-002-021,4,4,34.06227757,-118.26793334,09440,1910,Y,"{'type': 'Point', 'coordinates': [-118.26793334, 34.06227757]}",BURLINGTON AVE,240980,COLINA PARK SW 20 FT OF LOT 34 AND NE 30 FT OF LOT   36 BLK    B, ,222 S BURLINGTON AVE  LOS ANGELES CA  90057,20050429,0,0,0,1988,91980,1988,148780,0,220,0,0,240980,240760,2016,20165153002021,LOS ANGELES CA,S, ,222,BURLINGTON AVE, ,90057-2508,90057,3240,12706,LOS ANGELES,1,4,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1910,74.37654320987654
09,5153005020,5153-005-020,4,4,34.05879308,-118.26852990,09440,1922,Y,"{'type': 'Point', 'coordinates': [-118.2685299, 34.05879308]}",UNION AVE,185491,OSCAR B SMITH'S CROWN HILL TRACT VAC ALLEY ADJ ON SE AND LOT   44, ,434 S UNION AVE  LOS ANGELES CA  90017,19830322,0,0,7000,1984,57742,1984,134749,0,0,0,7000,192491,192491,2016,20165153005020,LOS ANGELES CA,S, ,434,UNION AVE, ,90017-1008,90017,3656,12706,LOS ANGELES,1,4,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1922,52.65071115973742
09,5153002013,5153-002-013,4,4,34.06157428,-118.26787274,09440,1923,Y,"{'type': 'Point', 'coordinates': [-118.26787274, 34.06157428]}",MIRAMAR ST,325770,COLINA PARK NW 50 FT OF SE 100 FT OF LOT   23 BLK    1, ,1704 MIRAMAR ST  LOS ANGELES CA  90026,20021213,0,0,7000,2003,149255,2003,183515,0,0,0,7000,332770,332770,2016,20165153002013,LOS ANGELES CA, , ,1704,MIRAMAR ST, ,90026-5406,90026,3984,12706,LOS ANGELES,1,4,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1923,83.52660642570281
09,5154002014,5154-002-014,4,4,34.06483243,-118.26868130,09440,1947,Y,"{'type': 'Point', 'coordinates': [-118.2686813, 34.06483243]}",BONNIE BRAE ST,294661,YARNELLS SUBDIVISION SW 30 FT EX OF ST AND ALLEY OF LOT 6 AND NE 20 FT EX OF ST AND ALLEY OF LOT    7 BLK    2, ,131 S BONNIE BRAE ST  LOS ANGELES CA  90057,20120917,0,0,7000,2001,140012,2001,161649,0,0,0,7000,301661,301661,2016,20165154002014,LOS ANGELES CA,S, ,131,BONNIE BRAE ST, ,90057-2503,90057,3701,00067,LOS ANGELES,2,4,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1947,81.50797081869764
09,5153002025,5153-002-025,4,8,34.06204904,-118.26790908,09440,1915,Y,"{'type': 'Point', 'coordinates': [-118.26790908, 34.06204904]}",MIRAMAR ST,393113,COLINA PARK SE 50 FT OF SW 30 FT OF LOT 36 AND SE 50 FT OF LOT   38 BLK    B, ,1715 MIRAMAR ST  LOS ANGELES CA  90026,20120531,0,0,0,2012,127854,2012,265259,0,0,0,0,393113,393113,2016,20165153002025,LOS ANGELES CA, , ,1715,MIRAMAR ST, ,90026-5405,90026,3540,12706,LOS ANGELES,1,4,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1910,111.04887005649718
09,5153003021,5153-003-021,4,4,34.06044982,-118.26858049,09440,1913,Y,"{'type': 'Point', 'coordinates': [-118.26858049, 34.06044982]}",UNION AVE,396287,RESUB OF PART OF BLK 1 COLINA PARK LOT   11, ,319 S UNION AVE  LOS ANGELES CA  90017,19890828,0,0,0,1990,15528,1990,380759,0,0,0,0,396287,396287,2016,20165153003021,LOS ANGELES CA,S, ,319,UNION AVE, ,90017-1111,90017,3660,12706,LOS ANGELES,1,4,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1913,108.27513661202185
09,5153027002,5153-027-002,4,6,34.06017652,-118.26333045,09440,1922,Y,"{'type': 'Point', 'coordinates': [-118.26333045, 34.06017652]}",MIRAMAR ST,677238,CROWNWOOD LOT ON SW LINE OF MIRAMAR ST COM NW THEREON 81.23 FT FROM NW LINE OF WITMER ST TH NW ON SD SW LINE 75.12 FT TH S 35¢58'45'' W 92.16 FT TH S 62¢49' E 90.61 FT TH NE TO BEG PART OF LOT   22, ,1510 MIRAMAR ST  LOS ANGELES CA  90026,20131115,0,0,0,2014,155330,2014,521908,0,0,0,0,677238,677238,2016,20165153027002,LOS ANGELES CA, , ,1510,MIRAMAR ST, ,90026-6006,90026,5164,12706,LOS ANGELES,1,4,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1922,131.14601084430674
09,5153024022,5153-024-022,4,6,34.05609778,-118.26463262,09440,1960,Y,"{'type': 'Point', 'coordinates': [-118.26463262, 34.05609778]}",HARTFORD AVE,1080100,BENTLEY AND CRIPPENS SUB OF E 1/2 OF LOT 7 BLK 38 HANCOCKS SURVEY LOT COM N 33¢21' E 2.91 FT FROM MOST S COR OF LOT 22 BLK 4 TH N 33¢21' E 47.5 FT TH N 64¢ W 136.48 FT TH S 26¢40' W 47.1 FT TH SE TO BEG PART OF LOT   22 BLK    4, ,491 HARTFORD AVE  LOS ANGELES CA  90017,20151218,0,0,0,2016,100,2016,1080000,0,0,0,0,1080100,1080100,2016,20165153024022,LOS ANGELES CA, , ,491,HARTFORD AVE, ,90017-1393,90017,3530,00067,LOS ANGELES,1,4,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1950,305.9773371104816
09,5153003011,5153-003-011,4,4,34.05933537,-118.26900937,09440,1921,Y,"{'type': 'Point', 'coordinates': [-118.26900937, 34.05933537]}",UNION AVE,842657,OSCAR B SMITHS CROWN HILL TRACT LOT   34, ,425 S UNION AVE  LOS ANGELES CA  90017,20150519,0,0,0,2015,182745,2015,659912,0,0,0,0,842657,842657,2016,20165153003011,LOS ANGELES CA,S, ,425,UNION AVE, ,90017-1007,90017,3480,12706,LOS ANGELES,5,4,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1921,242.14281609195402
09,5153023913,5153-023-913,4,4,34.05596259,-118.26394774,09440,1942,N,"{'type': 'Point', 'coordinates': [-118.26394774, 34.05596259]}",HARTFORD AVE,0,M R 7-96-97 LOT 25 BLK 3,Public (non-taxable government-owned),484 HARTFORD AVE  LOS ANGELES CA  90017,20060106,0,0,0,1978,0,1978,0,0,0,0,0,0,0,2016,20165153023913,LOS ANGELES CA, , ,484,HARTFORD AVE, ,90017-1306,90017,2210,00067,LOS ANGELES,1,4,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1942,0.0
09,5153021005,5153-021-005,4,4,34.05693649,-118.26556719,09440,1922,Y,"{'type': 'Point', 'coordinates': [-118.26556719, 34.05693649]}",COLUMBIA AVE,252803,COLINA PARK VAC ST ADJ ON NW AND LOT   33 BLK    N, ,456 COLUMBIA AVE  LOS ANGELES CA  90017,19951017,0,0,0,1996,157164,1996,95419,0,220,0,0,252803,252583,2016,20165153021005,LOS ANGELES CA, , ,456,COLUMBIA AVE, ,90017-1208,90017,4168,12706,LOS ANGELES,1,4,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1922,60.65331094049904
09,5153002014,5153-002-014,4,4,34.06150937,-118.26772652,09440,1923,Y,"{'type': 'Point', 'coordinates': [-118.26772652, 34.06150937]}",MIRAMAR ST,389690,COLINA PARK SE 50 FT OF LOT   23 BLK    1, ,1700 MIRAMAR ST  LOS ANGELES CA  90026,20130220,0,0,0,2013,101026,2013,288664,0,0,0,0,389690,389690,2016,20165153002014,LOS ANGELES CA, , ,1700,MIRAMAR ST, ,90026-5406,90026,4308,12706,LOS ANGELES,1,4,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1923,90.45728876508821
09,5153027001,5153-027-001,4,8,34.06007533,-118.26308920,09440,1923,Y,"{'type': 'Point', 'coordinates': [-118.2630892, 34.06007533]}",MIRAMAR ST,138834,CROWNWOOD LOT ON SW LINE OF MIRAMAR ST COM SE THEREON 75.12 FT FROM SE LINE OF COLUMBIA AVE TH SE ON SD SW LINE 81.23 FT TH S 27¢11' W 87.72 FT TH N 62¢49' W 79.8 FT TH NE TO BEG PART OF LOT   22, ,1502 MIRAMAR ST  LOS ANGELES CA  90026,20050811,0,0,0,1976,98248,1976,40586,0,0,0,0,138834,138834,2016,20165153027001,LOS ANGELES CA, , ,1502,MIRAMAR ST, ,90026-6006,90026,4834,12706,LOS ANGELES,1,4,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1923,28.72031443938767
09,5153029010,5153-029-010,8,10,34.06034279,-118.26145694,09440,1924,Y,"{'type': 'Point', 'coordinates': [-118.26145694, 34.06034279]}",WITMER ST,458559,CROWNWOOD LOT COM AT MOST N COR OF LOT 13 TH S 27¢51'30'' W 62 FT TH S 61¢35' E 189.89 FT TH NE ON SE LINE OF SD LOT 37 FT TH N 61¢35' W 35 FT TH NE 25 FT TO NE LINE OF SD LOT TH NW 155.44 FT TO BEG PART OF LOT   13, ,212 WITMER ST  LOS ANGELES CA  90026,20030730,0,0,0,2003,126481,2003,332078,0,0,0,0,458559,458559,2016,20165153029010,LOS ANGELES CA, , ,212,WITMER ST, ,90026-6010,90026,5925,00067,LOS ANGELES,1,4,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1924,77.39392405063292
09,5153002024,5153-002-024,4,4,34.06211255,-118.26804997,09440,1910,Y,"{'type': 'Point', 'coordinates': [-118.26804997, 34.06211255]}",MIRAMAR ST,449180,COLINA PARK SE 47 FT OF NW 90 FT OF SW 30 FT OF LOT 36 AND SE 47 FT OF NW 90 FT OF LOT   38 BLK    B, ,1719 MIRAMAR ST  LOS ANGELES CA  90026,20130805,0,0,0,2004,208977,2004,240203,0,0,0,0,449180,449180,2016,20165153002024,LOS ANGELES CA, , ,1719,MIRAMAR ST, ,90026-5405,90026,3540,12706,LOS ANGELES,1,4,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1910,126.88700564971751
09,5153010007,5153-010-007,4,4,34.06220751,-118.26671035,09440,1923,Y,"{'type': 'Point', 'coordinates': [-118.26671035, 34.06220751]}",UNION AVE,147425,J W ELLIS SUB OF PART OF LOT 3 BLK 38 HANCOCKS SURVEY LOT   16 BLK    C, ,246 S UNION AVE  LOS ANGELES CA  90026,20130102,0,0,0,1983,75499,1983,71926,0,0,0,0,147425,147425,2016,20165153010007,LOS ANGELES CA,S, ,246,UNION AVE, ,90026-5416,90026,3592,12706,LOS ANGELES,1,4,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1923,41.04259465478842
09,5153002028,5153-002-028,4,10,34.06154953,-118.26839360,09440,1956,Y,"{'type': 'Point', 'coordinates': [-118.2683936, 34.06154953]}",BURLINGTON AVE,219442,RESUB OF PART OF BLK 1 COLINA PARK LOTS 29 AND LOT   30, ,260 S BURLINGTON AVE  LOS ANGELES CA  90057,20150504,0,0,7000,1999,3965,1999,222477,0,0,0,7000,226442,226442,2016,20165153002028,LOS ANGELES CA,S, ,260,BURLINGTON AVE, ,90057-2554,90057,3412,12706,LOS ANGELES,3,4,0401,Residential,Four Units  (Any Combination),4 Stories or Less,Pool,R-I,1913,66.36635404454866
09,5154004018,5154-004-018,4,8,34.06540984,-118.27002618,09440,1925,Y,"{'type': 'Point', 'coordinates': [-118.27002618, 34.06540984]}",MOUNTAIN VIEW AVE,823249,HAYS TRACT LOT   18 BLK    B, ,132 S MOUNTAIN VIEW AVE  LOS ANGELES CA  90057,20140703,0,0,0,2014,357259,2014,465990,0,0,0,0,823249,823249,2016,20165154004018,LOS ANGELES CA,S, ,132,MOUNTAIN VIEW AVE, ,90057-2312,90057,4920,00067,LOS ANGELES,1,4,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1925,167.3270325203252
09,5153011010,5153-011-010,4,8,34.06295246,-118.26631467,09440,1984,Y,"{'type': 'Point', 'coordinates': [-118.26631467, 34.06295246]}",UNION AVE,604000,J W ELLIS SUB OF PART OF LOT 3 BLK 38 HANCOCKS SURVEY LOT   10 BLK    C, ,222 S UNION AVE  LOS ANGELES CA  90026,20151218,0,0,0,2016,181200,2016,422800,0,0,0,0,604000,604000,2016,20165153011010,LOS ANGELES CA,S, ,222,UNION AVE, ,90026-5423,90026,3021,12706,LOS ANGELES,1,4,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1984,199.93379675604103
09,5154011015,5154-011-015,4,5,34.06587568,-118.27249602,09440,1949,Y,"{'type': 'Point', 'coordinates': [-118.27249602, 34.06587568]}",LAKE ST,324861,TRACT # 5383 LOT   54, ,215 S LAKE ST  LOS ANGELES CA  90057,20020911,0,0,0,2003,105173,2003,219253,0,435,0,0,324861,324426,2016,20165154011015,LOS ANGELES CA,S, ,215,LAKE ST, ,90057-2103,90057,2914,00067,LOS ANGELES,1,4,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1949,111.4828414550446
09,5155007010,5155-007-010,4,4,34.06984062,-118.28416540,09440,1926,Y,"{'type': 'Point', 'coordinates': [-118.2841654, 34.06984062]}",HOOVER ST,990854,DIAMOND ST TRACT SW 105 FT OF NE 160 FT MEASURED ON SE LINE OF LOT   12 BLK    5, ,220 S HOOVER ST  LOS ANGELES CA  90004,20031216,0,0,0,2004,510439,2004,480415,0,0,0,0,990854,990854,2016,20165155007010,LOS ANGELES CA,S, ,220,HOOVER ST, ,90004-6106,90004,4700,00067,LOS ANGELES,1,4,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1917,210.82
09,5154011009,5154-011-009,4,7,34.06635347,-118.27288416,09440,1977,Y,"{'type': 'Point', 'coordinates': [-118.27288416, 34.06635347]}",2ND ST,183085,TRACT # 5383 LOT   48, ,2226 W 2ND ST  LOS ANGELES CA  90057,20020107,0,0,7000,2002,92299,2002,97786,0,0,0,7000,190085,190085,2016,20165154011009,LOS ANGELES CA,W, ,2226,2ND ST, ,90057-2002,90057,2752,00067,LOS ANGELES,2,4,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1977,69.07158430232558
09,5154017012,5154-017-012,0,0,34.06497559,-118.27508341,09440,0,Y,"{'type': 'Point', 'coordinates': [-118.27508341, 34.06497559]}",MIRAMAR ST,169177,NORTH KNOB HILL TRACT LOT   63, ,2332 MIRAMAR ST  LOS ANGELES CA  90057,20011231,0,0,0,2002,492,2002,168465,0,220,0,0,169177,168957,2016,20165154017012,LOS ANGELES CA, , ,2332,MIRAMAR ST, ,90057-2110,90057,1618,00067,LOS ANGELES,1,4,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1951,104.5593325092707
09,5154013008,5154-013-008,2,6,34.06682051,-118.27396319,09440,1967,Y,"{'type': 'Point', 'coordinates': [-118.27396319, 34.06682051]}",PARK VIEW ST,97334,NORTH KNOB HILL TRACT LOT   24, ,206 S PARK VIEW ST  LOS ANGELES CA  90057,19941110,0,0,7000,1975,66456,1975,37878,0,0,0,7000,104334,104334,2016,20165154013008,LOS ANGELES CA,S, ,206,PARK VIEW ST, ,90057-2012,90057,5332,00067,LOS ANGELES,2,4,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1916,19.567516879219806
09,5155003012,5155-003-012,4,4,34.07049956,-118.28270513,09440,1926,Y,"{'type': 'Point', 'coordinates': [-118.28270513, 34.07049956]}",VENDOME ST,962841,DIAMOND ST TRACT LOT 17 AND SW 5 FT OF LOT   18 BLK    3, ,142 S VENDOME ST  LOS ANGELES CA  90057,20080319,0,0,0,2007,192397,2007,769604,0,840,0,0,962841,962001,2016,20165155003012,LOS ANGELES CA,S, ,142,VENDOME ST, ,90057-1116,90057,4064,00067,LOS ANGELES,1,4,0400,Residential,Four Units  (Any Combination),4 Stories or Less, ,R-I,1922,236.91953740157481
